,entity,year,source,production_percent,consumption_percent,renewable,cp_ratio,production_relative_to_source,consumption_relative_to_source,cp_ratio_relative_to_source,date
6940,Egypt,1985,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1985-01-01
6941,Egypt,1986,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1986-01-01
6942,Egypt,1987,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1987-01-01
6943,Egypt,1988,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1988-01-01
6944,Egypt,1989,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1989-01-01
6945,Egypt,1990,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1990-01-01
6946,Egypt,1991,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1991-01-01
6947,Egypt,1992,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1992-01-01
6948,Egypt,1993,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1993-01-01
6949,Egypt,1994,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1994-01-01
6950,Egypt,1995,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1995-01-01
6951,Egypt,1996,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1996-01-01
6952,Egypt,1997,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1997-01-01
6953,Egypt,1998,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1998-01-01
6954,Egypt,1999,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,1999-01-01
6955,Egypt,2000,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2000-01-01
6956,Egypt,2001,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2001-01-01
6957,Egypt,2002,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2002-01-01
6958,Egypt,2003,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2003-01-01
6959,Egypt,2004,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2004-01-01
6960,Egypt,2005,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2005-01-01
6961,Egypt,2006,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2006-01-01
6962,Egypt,2007,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2007-01-01
6963,Egypt,2008,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2008-01-01
6964,Egypt,2009,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2009-01-01
6965,Egypt,2010,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2010-01-01
6966,Egypt,2011,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2011-01-01
6967,Egypt,2012,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2012-01-01
6968,Egypt,2013,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2013-01-01
6969,Egypt,2014,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2014-01-01
6970,Egypt,2015,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2015-01-01
6971,Egypt,2016,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2016-01-01
